locus	nsnps	PP.H0	PP.H1	PP.H2	PP.H3	PP.H4	lead_snp
chr12:3.5-5.0Mb	10598	4.40552698930429e-63	2.17225584145075e-19	1.8053321520162e-47	1.7794700035716e-11	0.999999999982208	rs76895963
chr2:26.8-28.1Mb	6303	2.57285176328884e-138	7.03971548170584e-117	6.27346949666081e-25	0.000717234329087788	0.999282765670936	rs1260326
chr16:83.4-84.4Mb	12444	9.71404369314924e-37	1.89972711538736e-35	0.000371300967943145	0.00662019279624147	0.993008506235814	rs67890964
chr2:163.6-165.3Mb	10187	1.0591147636386e-26	1.75624680974217e-09	8.12018427186808e-20	0.0125136854299772	0.987486312813774	rs10184004
chr6:43.3-44.4Mb	6944	5.8908201598192e-12	2.52176966239786e-06	6.97335091016582e-08	0.0288807278731469	0.97111668061779	rs4711750
chr15:39.8-40.9Mb	7008	6.65762627778691e-10	0.0125516617491728	2.3977642364031e-09	0.0442620030158852	0.943186332171414	rs4924455
chr22:34.8-35.8Mb	7551	7.22568237473216e-20	1.23736984173286e-17	0.00127757616755926	0.2179991979318	0.780723225900639	rs4462
chr11:77.8-78.8Mb	6546	4.62151491061703e-08	3.61590343109834e-05	0.000379215588959544	0.295997164560626	0.703587414600953	rs11601195
chr2:0.1-1.2Mb	8452	1.6856609615101e-10	0.110402922766308	3.15726257447002e-10	0.206102463014364	0.683494613735038	rs13028310
chr5:74.8-76.2Mb	10218	0	0	1.55227466854496e-06	0.369121528875154	0.630876918850083	rs12916
chr17:67.1-68.1Mb	6074	1.59439502093162e-19	7.71506733241302e-18	0.00878411036349215	0.424484790135744	0.566731099500761	rs12602912
chr15:90.5-91.5Mb	7363	1.62284256745534e-13	0.0540713524107544	1.21741506389633e-12	0.405088641683859	0.540840005904006	rs11853073
chr12:65.3-66.5Mb	7473	9.76194367286438e-14	0.3515480031385	3.07453130045112e-14	0.110182030773289	0.538269966088081	rs2583938
chr15:61.3-62.6Mb	10046	2.68837641518276e-17	0.0739033992367485	1.99241009862532e-16	0.547337805656256	0.378758795106994	rs6494307
chr19:18.2-19.9Mb	11163	0	0	1.51769090784192e-05	0.712519100625054	0.287465722465872	rs58542926
chr8:116.5-117.7Mb	7883	2.11345838821007e-52	0.581623825861789	5.31735170704285e-53	0.146061223507261	0.27231495063095	rs13266634
chr9:33.6-34.6Mb	6521	3.22601383660433e-05	0.00443528948678277	0.00531449256298104	0.730403914820179	0.259814042991691	rs62560863
chr5:100.5-103.8Mb	24125	7.12698442036288e-08	0.303851533799156	1.17306474132123e-07	0.500090211890638	0.196058065733889	rs78408340
chr1:21.2-22.3Mb	8878	3.32178485461574e-05	0.665715055036176	8.1419634161297e-06	0.163000903043697	0.171242682108164	rs11802899
chr10:96.7-97.8Mb	7529	3.94791797614702e-07	0.146208721595686	1.86354727964719e-06	0.689989509237112	0.163799510828124	rs7076523
chr7:69.0-71.0Mb	12952	1.32696501627786e-11	0.496963122245389	9.20143593403544e-12	0.34450950024991	0.15852737748223	rs10486875
chr2:217.4-218.4Mb	6421	3.13796607906736e-08	9.44615786516421e-07	0.0275401183404237	0.828891224008212	0.143567681655918	rs6707559
chr9:3.8-4.8Mb	10455	1.43497345028465e-18	0.61358298219451	6.34080404399702e-19	0.271022077008405	0.115394940797084	rs1574285
chr17:30.6-31.9Mb	7850	3.88543586712281e-34	1.01433265818359e-28	3.452953214614e-06	0.901329984570195	0.0986665624765886	rs2008998
chr3:47.0-48.5Mb	7306	0.000735910593608661	0.686149358384538	0.000261481518594993	0.243731385659191	0.0691218638440667	rs62262091
chr7:129.8-131.3Mb	8814	1.94066518663043e-14	6.44503019773469e-07	2.81510987068347e-08	0.934844599488857	0.0651547278570066	rs4731701
chr1:228.9-230.0Mb	7058	5.10142790722124e-09	0.744487374081023	1.30710639323389e-09	0.190690437726077	0.0648221817843648	rs348330
chr10:74.9-76.1Mb	6159	0.000135705582756608	0.761185969534327	3.14093808787588e-05	0.176115777454837	0.0625311380472007	rs11001399
chr20:49.7-50.7Mb	7353	7.88548507704396e-09	0.11139347879904	5.85915148404516e-08	0.82762591537323	0.0609805393507284	rs6122888
chr4:44.7-45.7Mb	7601	3.44976397233451e-08	0.793500260810252	7.58109981993515e-09	0.174345128416155	0.0321545686948532	rs10938398
chr6:131.0-132.2Mb	8045	8.48330194303378e-07	0.00808505790289354	0.000100768825546781	0.960351411197748	0.0314619137436181	rs139222246
chr5:176.6-177.8Mb	6925	3.59714734802058e-10	5.67322108710868e-05	6.16447569910104e-06	0.972199144722941	0.027737958230773	rs31778
chr13:79.5-80.7Mb	7150	3.35432445922361e-21	0.806312420229355	6.92680873057373e-22	0.166479400824151	0.0272081789464909	rs1215468
chr13:25.7-26.9Mb	8380	2.43427346360648e-11	0.840066180295878	3.96020288007116e-12	0.136643051629215	0.0232907680466046	rs34584161
chr17:42.0-43.2Mb	5790	6.02812685318959e-11	0.000132688880437647	4.4472057569638e-07	0.978881362337526	0.0209855040011804	rs12601457
chr8:94.4-95.4Mb	7011	0.00178210455644096	0.754628140979883	0.000530132720858184	0.224464906080028	0.0185947156627895	rs7845219
chr3:124.7-125.7Mb	7194	7.88660944654339e-12	4.95577664295195e-10	0.0153753659334042	0.966136611784771	0.0184880217783608	rs2011442
chr4:5.8-6.8Mb	9099	2.30419181198735e-24	0.805389656348965	5.06765081936584e-25	0.177113309988232	0.0174970336628012	rs1046316
chr2:225.5-226.8Mb	8157	5.24028169636526e-17	0.678471175676491	2.361346281886e-17	0.305713051658595	0.015815772664913	rs2176040
chr20:63.3-64.3Mb	7772	1.59602258288115e-20	9.75691828369787e-19	0.0158422164484116	0.968461899469069	0.0156958840825176	rs8121509
chr15:69.1-70.1Mb	6635	0.455573977791742	0.329199349336794	0.115869124746019	0.0837117889364998	0.0156457591889456	rs1259393625
chr3:63.3-65.2Mb	15549	9.11377613140257e-15	0.526128004071472	7.95784415379695e-15	0.45939136775575	0.0144806281727605	rs2578011
chr5:53.5-54.5Mb	7969	3.30582609320144e-06	0.000220653239705972	0.0145503212698865	0.971173008085672	0.0140527115786434	rs79760705
chr3:149.8-150.9Mb	6469	0.00211941427102009	0.740854470126021	0.00069387398634203	0.242534179232415	0.013798062384202	rs9844972
chr4:94.7-95.7Mb	7882	0.00955182606408067	0.802119761812709	0.0020607973847093	0.173043351126025	0.0132242636124761	rs62319060
chr2:119.0-120.0Mb	6588	0.000306239432048115	0.709922072109996	0.000119758597886514	0.277611488952342	0.0120404409077285	rs3731600
chr2:212.3-213.3Mb	7080	0.0145426846780789	0.742446390592002	0.00444790513649854	0.227067010290622	0.0114960093027977	rs75179644
chr16:81.0-82.0Mb	11012	1.75195433562193e-05	0.220230902331762	6.11186729676717e-05	0.768288049396581	0.011402410055333	rs2925979
chr6:75.0-76.0Mb	6157	0.00218913074405391	0.736281779833978	0.000742294893779581	0.249648781586747	0.0111380129414417	rs17496664
chr1:213.4-214.5Mb	7251	4.86715084179385e-12	0.0676504415603288	6.62801259411506e-11	0.921242400765413	0.0111071576031095	rs79687284
chr20:58.1-59.9Mb	12088	8.48426064602103e-11	0.698643236298058	3.53960750490489e-11	0.291465045700495	0.00989171788120946	rs140896965
chr4:139.4-140.5Mb	6531	0.0010935446624257	0.806071213655809	0.000249016408225085	0.183545381115121	0.00904084415841831	rs72712556
chr5:49.8-51.0Mb	6723	0.00269962192580375	0.801648827133536	0.000632471486018496	0.18780427839949	0.00721480105515203	rs12659555
chr10:78.7-79.8Mb	8195	1.21420005325122e-20	0.470197780380285	1.35086155510728e-20	0.523113123913465	0.00668909570624913	rs703977
chr13:50.0-51.0Mb	6353	2.2697517554097e-05	0.00851870304205326	0.00261754807243424	0.982396793198134	0.00644425816982447	rs9562987
chr10:22.7-23.8Mb	7695	5.97798591863583e-05	0.809548305773488	1.35948079343312e-05	0.184096757159131	0.00628156240026124	rs117414485
chr11:10.9-11.9Mb	8452	0.0404967962860928	0.769688216337999	0.00920632851908331	0.174971230539589	0.0056374283172356	rs184216160
chr11:92.4-93.5Mb	6728	1.21016076947894e-10	0.812092034357145	2.71826239367445e-11	0.182406562586414	0.00550140290824255	rs144683127
chr9:78.8-79.8Mb	7270	0.000219189331031367	0.509701155575824	0.000208349724742252	0.484489438046306	0.00538186732209621	rs12551737
chr17:45.5-46.5Mb	6366	0.0153881938737896	0.40081006543414	0.0213968996275452	0.557311301753292	0.00509353931123346	rs8067056
chr12:132.0-133.0Mb	7784	7.21690865191312e-13	3.90792087885648e-09	0.000183724669672799	0.99485517529345	0.00496109612823558	rs11610045
chr7:74.1-75.3Mb	3609	0.000636329144693658	0.890883593341643	7.39545197776699e-05	0.103534104425933	0.00487201856795302	rs68008267
chr11:128.0-129.0Mb	7248	0.000223624095087202	0.719594546069489	8.56292736222725e-05	0.275539804145103	0.00455639641669834	rs11819995
chr7:89.6-90.7Mb	8156	0.000114303483317383	0.844714424132373	2.03875943378634e-05	0.150661916908252	0.00448896788172045	rs6975005
chr12:30.7-31.9Mb	9436	3.95413278324648e-21	0.781296251454546	1.08918406497829e-21	0.215208150990824	0.00349559755462927	rs142985970
chr4:51.3-52.4Mb	4331	0.000844600305466538	0.836319844638665	0.000160814958352041	0.15923488875696	0.00343985134055621	rs7676869
chr2:58.2-59.3Mb	7579	0.000651369519996589	0.747637157554187	0.000216201524037191	0.248151179458522	0.00334409194325795	rs1861410
